HAPPINESS_RANK,HAPPINESS_SCORE,ECONOMY,FAMILY,FREEDOM,TRUST,GENEROSITY,DYSTOPIA
146.0,3.781,0.2852,1.00268,0.32878,0.05747,0.34377,1.38079
102.0,4.876,0.68042,0.5497,0.52168,0.22423,0.43079,2.08637
119.0,4.518,0.26673,0.74302,0.24425,0.17175,0.46187,2.24173
123.0,4.466,0.204,0.986,0.494,0.138,0.197,
127.0,4.35,0.308,0.95,0.452,0.146,0.22,
102.0,4.883,0.393,0.437,0.349,0.082,0.175,
114.0,4.545000076,0.36711055,1.123235941,0.514492035,0.188816205,0.838075161,1.115290403
119.0,4.395,0.34112,0.69981,0.42692,0.20243,0.81971,1.50655
151.0,3.408,0.332,0.896,0.636,0.444,0.2,
136.0,4.077,0.54649,0.68093,0.35571,0.07854,0.09131,1.92313
114.0,4.633,0.54558,0.67954,0.42342,0.04355,0.23087,2.30919
143.0,3.774,0.262,0.908,0.221,0.049,0.155,
80.0,5.269000053,0.726883531,0.67269069,0.235215262,0.124348067,0.315446019,2.79248929
92.0,5.132,0.68816,0.26135,0.14622,0.1388,0.31185,3.18286
103.0,4.758,1.036,1.164,0.356,0.052,0.032,
128.0,4.219,0.44314,0.77416,0.31056,0.11681,0.19103,1.97861
115.0,4.534999847,0.479309022,1.179691911,0.377922267,0.115460448,0.183468893,1.789646149
139.0,4.085,0.275,0.572,0.293,0.085,0.177,
125.0,4.419,0.36471,0.99876,0.42215,0.05839,0.37542,1.78555
146.0,3.59,1.017,1.174,0.557,0.092,0.042,
75.0,5.472,0.652,0.81,0.334,0.113,0.216,
140.0,3.907,0.55604,0.5375,0.58852,0.08092,0.40339,1.31573
138.0,4.107,0.578,1.058,0.431,0.087,0.247,
120.0,4.516,0.308,0.939,0.382,0.167,0.269,
154.0,3.465,0.22208,0.7737,0.59201,0.55191,0.22628,0.67042
130.0,4.308,0.682,1.174,0.58,0.178,0.598,
129.0,4.168000221,0.601765096,1.006238341,0.633375823,0.068105951,0.385922968,1.042941093
127.5,4.147,0.39749999999999996,1.1155,0.3835,0.08549999999999999,0.14450000000000002,
143.0,3.896,1.06024,0.90528,0.31914,0.11091,0.06822,0.99895
142.0,3.904,0.36498,0.97619,0.36772,0.10713,0.20843,1.44395
59.0,5.822000027,1.130776763,1.493149161,0.418271929,0.25927034,0.249924988,1.832909822
91.0,5.057,0.18847,0.95152,0.46582,0.39928,0.50318,2.11032
149.0,3.462,0.619,0.378,0.013,0.141,0.331,
65.0,5.658,1.08017,1.03817,0.37408,0.28467,0.22567,2.21489
122.0,4.512,0.19073,0.60406,0.4345,0.15048,0.24325,2.44876
110.0,4.623,0.72,1.034,0.626,0.174,0.23,
138.5,4.082,0.2025,0.9955,0.363,0.0465,0.2425,
147.0,3.597,0.323,0.688,0.026,0.11,0.419,
50.0,5.955999851,0.907975316,1.081417799,0.547509372,0.096581072,0.240015641,2.631955624
118.0,4.404,0.74036,0.29247,0.40285,0.08722,0.25028,2.18032
124.0,4.41,0.493,1.048,0.504,0.055,0.352,
122.0,4.315000057,0.792221248,0.754372597,0.469987005,0.092226885,0.231538489,1.519117117
52.0,5.956,0.87616,0.68655,0.51231,0.10771,0.23684,3.08039
120.0,4.433,0.549,1.088,0.696,0.065,0.256,
151.0,3.38,0.287,1.163,0.143,0.077,0.108,
147.0,3.681,0.20824,0.66801,0.19184,0.08124,0.21333,1.851
72.0,5.429999828,0.857699215,1.253917575,0.585214674,0.099331893,0.193513423,1.972604752
106.0,4.722,0.96,1.351,0.389,0.055,0.13,
59.0,5.822,0.79422,0.83779,0.50961,0.07746,0.21698,2.91635
82.0,5.279,0.81217,0.87877,0.54854,0.11757,0.21674,2.23484
58.0,5.822999954,0.833756566,1.227619052,0.558732927,0.060477726,0.225560725,2.443279028
49.0,5.956,0.807,1.101,0.593,0.089,0.183,
113.0,4.639,0.879,1.313,0.401,0.056,0.07,
129.0,4.307,0.27108,0.70905,0.44017,0.19034,0.79588,1.41805
133.0,4.19,0.721,0.747,0.539,0.093,0.172,
98.0,4.996,0.611,0.868,0.381,0.04,0.245,
122.0,4.49,0.57,1.167,0.066,0.088,0.106,
81.0,5.262000084,0.995538592,1.274444699,0.443323463,0.015317135,0.611704588,1.429476976
79.0,5.314,0.95104,0.87625,0.39237,0.00322,0.56521,2.03171
150.0,3.41,0.191,0.56,0.443,0.089,0.218,
97.0,5.011000156,0.885416389,1.340126514,0.501537681,0.17338039,0.474054545,1.140184402
84.0,5.196,0.8527,0.90836,0.46074,0.1616,0.48546,1.82916
47.0,5.971000195,0.786441088,1.54896915,0.658248663,0.246528223,0.415983647,1.816913605
153.0,3.231,0.476,0.885,0.417,0.147,0.276,
152.0,3.461999893,0.777153134,0.396102607,0.081539445,0.151347131,0.493663728,1.061573505
107.0,4.793,0.44626,0.69699,0.37012,0.07008,0.3816,2.32694
117.0,4.497000217,1.102710485,0.978613198,0.288555533,0.107215755,0.199637264,1.318907261
49.0,5.987,0.73591,1.1681,0.60848,0.28333,0.34326,2.34638
99.0,4.961999893,0.479820192,1.179283261,0.440305948,0.072975546,0.394096166,1.891241074
142.0,3.973,0.274,0.757,0.142,0.078,0.275,
82.5,5.282,0.712,1.0110000000000001,0.489,0.0735,0.123,
40.0,6.269,1.09686,0.77866,0.52234,0.12692,0.16665,3.06852
112.0,4.575,1.07474,0.59205,0.24856,0.13636,0.19589,1.81657
71.0,5.524,0.775,1.312,0.643,0.105,0.12,
81.0,5.194,0.59543,0.41411,0.12102,0.10464,0.33671,3.10709
117.0,4.565,0.64499,0.38174,0.39786,0.08492,0.26475,2.27513
68.0,5.636,1.016,1.533,0.417,0.037,0.199,
38.0,6.168000221,1.361355901,1.380228519,0.518630743,0.008964816,0.325296462,2.053247452
68.0,5.525000095,1.101803064,1.35756433,0.46573323,0.09261021,0.152073666,1.835011244
104.0,4.735000134,0.989701807,0.997471392,0.282110155,0.114381365,0.128631443,1.702161074
120.0,4.362,0.95395,0.49813,0.18847,0.10393,0.12706,1.96895
96.0,5.093,0.899,1.215,0.538,0.018,0.484,
67.0,5.615,1.06688,0.95076,0.40672,0.10339,0.17087,2.39374
55.0,5.897,0.69177,0.83132,0.25202,0.01903,0.19997,3.38007
43.0,6.168,1.32572,0.98569,0.48453,0.01241,0.31935,2.51394
97.0,5.082,0.796,1.335,0.541,0.171,0.364,
96.0,5.040999889,0.524713635,1.271463275,0.471566707,0.146377146,0.248997644,1.84904933
110.0,4.643,0.54177,0.24749,0.39778,0.12583,0.19132,2.60904
100.0,4.996,0.48835,0.75602,0.43408,0.13509,0.25998,2.39106
134.0,4.286,0.336,1.033,0.344,0.1,0.209,
110.0,4.607999802,0.586682975,0.735131741,0.478356659,0.123717859,0.172255352,1.978736162
67.0,5.653,0.677,0.886,0.313,0.098,0.22,
117.0,4.456,1.01,0.971,0.304,0.095,0.148,
148.0,3.488,1.041,1.145,0.455,0.1,0.025,
70.0,5.548,0.95847,1.22668,0.4761,0.30844,0.16979,1.86984
125.5,4.171,0.5569999999999999,0.8049999999999999,0.307,0.11099999999999999,0.33899999999999997,
51.0,5.89,0.68133,0.97841,0.57414,0.088,0.20536,2.82334
77.0,5.401,0.90145,0.66062,0.14396,0.06547,0.27992,2.80998
29.0,6.453999996,0.872001946,1.255585194,0.531310618,0.077223279,0.283488393,2.893891096
39.0,6.324,0.83454,0.87119,0.50379,0.08701,0.28808,3.19863
85.0,5.234000206,1.153601766,1.152400255,0.398155838,0.180987507,0.04526934,1.762481689
78.0,5.278999805,0.951484382,1.137853503,0.260287941,0.057471618,0.319931448,2.010540724
81.0,5.291,1.12373,0.76042,0.35327,0.17914,0.0564,2.2735
49.0,5.962999821,1.281778097,1.469282389,0.373783112,0.032962881,0.052263822,2.205607414
99.0,4.876,0.59066,0.73803,0.59591,0.24249,0.42192,1.73799
105.0,4.796,0.764,1.03,0.547,0.164,0.266,
96.0,4.9925,0.935,1.1875,0.404,0.1275,0.10400000000000001,
98.0,5.004000187,0.596220076,1.394238591,0.454943389,0.039439179,0.428580374,1.536723137
85.0,5.185,0.56044,0.95434,0.40212,0.04762,0.38432,2.28136
101.0,4.907,0.98853,1.08983,0.35972,0.03285,0.34539,1.53586
137.0,4.1465,0.492,1.0485,0.3365,0.1065,0.3675,
100.0,4.954999924,1.027235866,1.493011236,0.394143969,0.032902289,0.33846423,1.111292362
38.0,6.192,1.223,1.492,0.575,0.019,0.171,
103.0,4.775000095,0.716249228,1.155647159,0.254711062,0.089282602,0.114173174,1.878890276
108.0,4.754,0.67024,0.71629,0.17744,0.10613,0.11154,2.40364
121.0,4.514,0.35997,0.86449,0.38282,0.05907,0.32296,1.95637
107.5,4.74,0.7535,1.1585,0.2935,0.0635,0.098,
106.0,4.786,0.39047,0.85563,0.47216,0.15072,0.22974,2.11399
54.0,5.919,1.22943,0.95544,0.4052,0.11132,0.15011,2.49325
126.0,4.437,1.043,0.98,0.241,0.089,0.148,
79.0,5.253,0.77042,1.10395,0.53206,0.15445,0.47998,1.63794
86.0,5.230000019,1.079373837,1.402416706,0.552589834,0.113945253,0.18696785,1.31946516
94.0,5.125,0.914,1.517,0.395,0.032,0.253,
132.0,4.096000195,0.894651949,1.394537568,0.122974776,0.023029471,0.270061463,0.814382315
89.0,5.155,1.02787,0.99496,0.52259,0.12372,0.21286,1.69626
66.0,5.662,0.855,1.23,0.448,0.023,0.274,
115.0,4.5,0.532,0.85,0.58,0.144,0.153,
70.0,5.493000031,0.932537317,1.50728488,0.473507792,0.091065913,0.224150658,1.68533349
121.0,4.509,0.512,0.983,0.431,0.053,0.372,
90.0,5.073,0.70532,1.03516,0.62545,0.12279,0.24991,1.7536
91.0,5.181000233,0.730573118,1.143944979,0.34807986,0.073345453,0.236188874,2.065811157
70.0,5.538,0.89373,1.11111,0.46235,0.07396,0.25296,2.16091
104.0,4.871,0.69429,0.75596,0.26755,0.06906,0.2044,2.29551
123.0,4.324,0.87287,1.01413,0.12859,0.01829,0.20363,1.50066
140.0,4.015,0.755,0.765,0.498,0.085,0.2,
56.0,5.837999821,0.72887063,1.251825571,0.240729049,0.010091286,0.208779126,2.807808399
56.0,5.856,1.23228,1.05261,0.32682,0.03586,0.02736,2.59115
37.0,6.343999863,1.530623555,1.286677599,0.449750572,0.273432255,0.147616014,2.065429688
34.0,6.379,1.48953,0.84829,0.37904,0.30008,0.15457,2.61482
92.0,5.131,0.53,1.416,0.54,0.035,0.281,
73.0,5.51,0.89333,0.96372,0.43597,0.04294,0.22245,2.35682
90.0,5.151,0.84058,0.38595,0.25646,0.08404,0.04053,2.94891
36.0,6.356999874,1.070622325,1.402182937,0.477487415,0.046668742,0.149014473,2.616068125
98.0,5.045,0.97724,0.43165,0.23553,0.0817,0.03936,2.68413
46.0,6.068,0.8737,0.80975,0.37269,0.10613,0.08877,3.22134
45.0,6.002999783,0.909784496,1.182125092,0.43245253,0.08998096,0.078257985,2.714593887
31.0,6.481,1.03032,1.02169,0.44735,0.05399,0.15626,3.17471
84.0,5.235000134,0.878114581,0.774864435,0.408158332,0.087763183,0.032209955,2.456189394
44.0,6.003,0.63244,1.34043,0.65821,0.30826,0.22837,2.23741
88.0,5.199,0.474,1.166,0.292,0.034,0.187,
59.0,5.81,1.151,1.479,0.399,0.025,0.065,
109.0,4.694,0.39753,0.43106,0.4082,0.12569,0.21222,2.51767
104.0,4.743,0.642,1.217,0.266,0.076,0.086,
112.0,4.677,0.98549,0.81889,0.0,0.13788,0.17922,1.95335
100.0,4.874,0.82819,1.3006,0.43626,0.02666,0.3323,1.34759
87.0,5.201,1.024,1.161,0.43,0.176,0.031,
95.0,5.082,0.813,1.321,0.457,0.167,0.37,
74.0,5.335999966,0.991012394,1.239088893,0.418421149,0.119803272,0.17217046,1.791176558
44.0,6.096,0.719,1.584,0.724,0.259,0.328,
60.0,5.818999767,1.28455627,1.384369016,0.437454283,0.119282886,0.201964423,1.784892559
80.0,5.303,0.99673,0.86216,0.36023,0.13297,0.14262,2.20142
30.0,6.382,0.781,1.268,0.604,0.071,0.179,
40.0,6.269,0.99534,0.972,0.59657,0.13633,0.16991,2.79094
138.0,4.103,0.793,1.413,0.163,0.011,0.187,
92.0,5.013,0.73479,0.64095,0.41691,0.08546,0.07172,2.45373
145.0,3.819,0.46038,0.62736,0.66246,0.07247,0.40359,0.98195
102.0,4.804999828,1.007265806,0.86835146,0.28968069,0.086723149,0.049693357,1.89025116
117.5,4.318,0.6705,1.076,0.5665,0.2585,0.16849999999999998,
17.0,6.952,1.08754,1.03938,0.40425,0.14166,0.15776,3.50733
41.0,6.168,1.21183,1.18354,0.55884,0.0114,0.31844,2.26882
64.0,5.681,0.835,1.522,0.541,0.074,0.162,
22.0,6.635000229,1.10735321,1.431306005,0.437453747,0.111092761,0.162349895,2.769267082
135.0,4.194,0.8818,0.747,0.17288,0.06324,0.11291,1.59927
82.0,5.25,1.128431201,1.431337595,0.153997123,0.064491123,0.06501963,1.789463758
53.0,5.872000217,1.091864467,1.146217465,0.233335808,0.14609611,0.069436647,2.567603827
68.0,5.605,0.93929,1.07772,0.28579,0.17383,0.07822,2.43209
38.0,6.355,1.05266,0.83309,0.21006,0.16157,0.07044,3.40904
52.0,5.889,0.59448,1.01528,0.32818,0.01615,0.20951,3.10712
42.0,6.084000111,1.29121542,1.284646034,0.402264982,0.065600708,0.41660893,2.004448891
44.0,6.084,1.13367,1.03302,0.19847,0.08304,0.0425,2.97468
67.0,5.64,0.657,1.301,0.232,0.0,0.171,
117.0,4.415,0.97318,0.84783,0.50817,0.07964,0.46978,0.91681
72.0,5.504,0.62,1.205,0.459,0.074,0.197,
47.0,6.005,1.25142,0.88025,0.39031,0.09081,0.41474,2.35384
120.0,4.440000057,1.009850144,1.259976387,0.561213255,0.073653966,0.490863562,0.419389248
52.0,5.90199995,1.314582348,1.473516107,0.234231785,0.011865643,0.010164657,2.228440523
110.0,4.406000000000001,0.871605,0.480605,0.22207000000000002,0.112625,0.31462,1.77453
63.0,5.715000153,1.035225272,1.218770385,0.450002879,0.047049087,0.126819715,2.20726943
60.0,5.79,1.143,1.516,0.454,0.121,0.148,
61.0,5.802,1.13062,1.04993,0.29091,0.17457,0.13942,2.38582
69.0,5.589,0.80148,0.81198,0.24749,0.04741,0.2831,2.76579
39.0,6.105000019,1.632952452,1.259698749,0.496337593,0.21515955,0.228289798,1.640425205
33.0,6.371,1.379,1.331,0.509,0.127,0.098,
37.0,6.26,0.96,1.439,0.531,0.039,0.099,
88.0,5.161,1.07838,0.74173,0.15111,0.12721,0.17191,2.25531
41.0,6.239,1.61714,0.87758,0.43166,0.23669,0.15965,2.28085
109.0,4.7,0.574,1.122,0.609,0.062,0.232,
121.0,4.375999928,0.900596738,1.007483721,0.198303267,0.026674422,0.083488092,1.521499157
69.0,5.5,1.198274374,1.337753177,0.3007406,0.09967158,0.046693042,1.879277945
67.0,5.568999767,1.15655756,1.444945216,0.295400262,0.156313822,0.155137509,1.723232985
74.0,5.399,0.82827,1.08708,0.46611,0.0,0.51535,1.86399
64.0,5.629000187,1.189395547,1.20956099,0.491247326,0.042181555,0.360933751,1.697583914
54.0,5.849999905,1.260748625,1.404714942,0.325707912,0.073842727,0.153074786,1.993655205
40.0,6.167,0.806,1.231,0.461,0.082,0.065,
108.0,4.691999912,1.156873107,0.711551249,0.249322608,0.048761073,0.387242913,1.498734951
68.0,5.56,1.21788,0.95025,0.27996,0.0889,0.17445,2.20859
126.0,4.252,0.83792,0.19249,0.32461,0.3188,0.06786,1.87031
80.0,5.212,1.02389,0.93793,0.3703,0.16065,0.07799,2.00073
121.0,4.36,0.86086,0.62477,0.14037,0.03616,0.07793,1.97864
76.0,5.31099987,0.925579309,1.368218064,0.474307239,0.055267781,0.233818337,1.612325668
105.0,4.813,1.11758,0.38857,0.22544,0.0557,0.38538,1.99817
128.0,4.34,0.853,0.592,0.375,0.215,0.038,
54.0,5.855,1.12254,1.12241,0.51649,0.08454,0.11827,2.24729
137.0,4.166,0.913,1.039,0.241,0.067,0.076,
43.0,6.123,0.74553,1.04356,0.57733,0.09472,0.27489,2.74255
